MIXS ID	Structured comment name	Item	Expected value	Value syntax	Occurrence	Preferred unit	Definition
MIXS:0000322	sieving	composite design/sieving	design name and/or size;amount	{{text}|{float} {unit}};{float} {unit}	1		Collection design of pooled samples and/or sieve size and amount of sample sieved
MIXS:0000021	ploidy	ploidy	PATO	{termLabel} {[termID]}	1		The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v 2018-03-27) please refer to http://purl.bioontology.org/ontology/PATO
MIXS:0000321	horizon_meth	soil horizon method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining the horizon
MIXS:0001170	spikein_strain	spike-in microbial strain	NCIT:C14250 or NCBI taxid or text	{termLabel} {[termID]}|{integer}	m		Taxonomic information about the spike-in organism(s) at the strain level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.
MIXS:0000874	host_phenotype	host phenotype	PATO or HP	{text};{termLabel} {[termID]}	1		Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP
MIXS:0000056	assembly_qual	assembly quality	enumeration	[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]	1		The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG;Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG;Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling ≥ 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated
MIXS:0000998	samp_type	sample type (host or environmental context)	GENEPIO:0001246	{termLabel} {[termID]}	1		The type of material from which the sample was obtained. For the Hydrocarbon package, samples include types like core, rock trimmings, drill cuttings, piping section, coupon, pigging debris, solid deposit, produced fluid, produced water, injected water, swabs, etc. For the Food Package, samples are usually categorized as food, body products or tissues, or environmental material. This field accepts terms listed under environmental specimen (http://purl.obolibrary.org/obo/GENEPIO_0001246).
MIXS:0001135	food_preserv_proc	food preservation process	FOODON:03470107	{text}|{termLabel} {[termID]}	m		The methods contributing to the prevention or retardation of microbial, enzymatic or oxidative spoilage and thus to the extension of shelf life. This field accepts terms listed under food preservation process (http://purl.obolibrary.org/obo/FOODON_03470107).
MIXS:0000829	season	season	autumn [NCIT:C94733], spring [NCIT:C94731], summer [NCIT:C94732], winter [NCIT:C94730]	{termLabel} {[termID]}	1		The season when sampling occurred. Any of the four periods into which the year is divided by the equinoxes and solstices. This field accepts terms listed under season (http://purl.obolibrary.org/obo/NCIT_C94729).
MIXS:0001168	spikein_serovar	spike-in bacterial serovar or serotype	NCIT:C14250 or antigenic formula or serovar name	{termLabel} {[termID]}|{integer}	m		Taxonomic information about the spike-in organism(s) at the serovar or serotype level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.
MIXS:0000009	lat_lon	geographic location (latitude and longitude)	decimal degrees,  limit to 8 decimal points	{float} {float}	1		The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.
MIXS:0000083	pred_genome_struc	predicted genome structure	enumeration	[segmented|non-segmented|undetermined]	1		Expected structure of the viral genome
MIXS:0000182	redox_potential	redox potential	measurement value	{float} {unit}	1	millivolt	Redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential
MIXS:0000328	link_climate_info	link to climate information	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Link to climate resource
MIXS:0000756	ventilation_type	ventilation type	ventilation type name	{text}	m		Ventilation system used in the sampled premises.
MIXS:0000003	isol_growth_condt	isolation and growth condition	PMID,DOI or URL	{PMID}|{DOI}|{URL}	1		Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material
MIXS:0001106	ph_meth	pH method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining pH.
MIXS:0001115	anim_water_method	animal water delivery method	EOL_0001653	{termLabel} {[termID]}	m		Description of the equipment or method used to distribute water to livestock. This field accepts termed listed under water delivery equipment (http://opendata.inra.fr/EOL/EOL_0001653). Multiple terms can be separated by pipes.
MIXS:0001147	lot_number	lot number	lot number, item	{integer}, {text}	m		A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number. The submitter should provide lot number of the item followed by the item name for which the lot number was provided.
MIXS:0001163	soil_temp	soil temperature	measurement value	{float}{unit}	m	degree Celsius	Temperature of soil at the time of sampling.
MIXS:0001125	farm_equip_san_freq	farm equipment sanitization frequency	text	{text}	1		The number of times farm equipment is cleaned. Frequency of cleaning might be on a Daily basis, Weekly, Monthly, Quarterly or Annually.
MIXS:0000498	mean_frict_vel	mean friction velocity	measurement value	{float} {unit}	1	meter per second	Measurement of mean friction velocity
MIXS:0000704	fluor	fluorescence	measurement value	{float} {unit}	1	milligram chlorophyll a per cubic meter, volts	Raw or converted fluorescence of water
MIXS:0000337	tot_org_c_meth	total organic carbon method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining total organic carbon.
MIXS:0001126	farm_equip	farm equipment used	AGRO:00000416	{termLabel} {[termID]}	m		List of equipment used for planting, fertilization, harvesting, irrigation, land levelling, residue management, weeding or transplanting during the growing season. This field accepts terms listed under agricultural implement (http://purl.obolibrary.org/obo/AGRO_00000416). Multiple terms can be separated by pipes.
MIXS:0000067	trnas	number of standard tRNAs extracted	value from 0-21	{integer}	1		The total number of tRNAs identified from the SAG or MAG
MIXS:0000634	tot_depth_water_col	total depth of water column	measurement value	{float} {unit}	1	meter	Measurement of total depth of water column
MIXS:0000335	soil_text_measure	soil texture measurement	measurement value	{float} {unit}	1		The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system;express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.
MIXS:0001113	animal_feed_equip	animal feeding equipment	EOL_0001757	{termLabel}{[termID]}	m		Description of the feeding equipment used for livestock. This field accepts terms listed under feed delivery (http://opendata.inra.fr/EOL/EOL_0001757). Multiple terms can be separated by pipes.
MIXS:0000060	number_contig	number of contigs	value	{integer}	1		Total number of contigs in the cleaned/submitted assembly that makes up a given genome, SAG, MAG, or UViG
MIXS:0000175	bishomohopanol	bishomohopanol	measurement value	{float} {unit}	1	microgram per liter, microgram per gram	Concentration of bishomohopanol
MIXS:0000424	sulfide	sulfide	measurement value	{float} {unit}	1	micromole per liter, milligram per liter, parts per million	Concentration of sulfide in the sample
MIXS:0000061	feat_pred	feature prediction	names and versions of software(s), parameters used	{software};{version};{parameters}	1		Method used to predict UViGs features such as ORFs, integration site, etc.
MIXS:0001133	food_harvest_proc	Food harvesting process	free text	{text}	m		A harvesting process is a process which takes in some food material from an individual or community of plant or animal organisms in a given context and time, and outputs a precursor or consumable food product. This may include a part of an organism or the whole, and may involve killing the organism.
MIXS:0001178	food_quality_date	food quality date	enumeration, date	[best by|best if used by|freeze by||use by];date	1		"The date recommended for the use of the product while at peak quality, this date is not a reflection of safety unless used on infant formula this date is not a reflection of safety and is typically labeled on a food product as ""best if used by,"" best by,"" ""use by,"" or ""freeze by."""
MIXS:0000077	bin_param	binning parameters	enumeration	[homology search|kmer|coverage|codon usage|combination]	1		The parameters that have been applied during the extraction of genomes from metagenomic datasets
MIXS:0001142	date_extr_weath	extreme weather date	date	{timestamp}	m		Date of unusual weather events that may have affected microbial populations. Multiple terms can be separated by pipes, listed in reverse chronological order.
MIXS:0000427	ammonium	ammonium	measurement value	{float} {unit}	1	micromole per liter, milligram per liter, parts per million	Concentration of ammonium in the sample
MIXS:0000002	samp_collect_device	sample collection device	device name	{termLabel} {[termID]}|{text}	1		The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).
MIXS:0000433	diss_org_carb	dissolved organic carbon	measurement value	{float} {unit}	1	micromole per liter, milligram per liter	Concentration of dissolved organic carbon in the sample, liquid portion of the sample, or aqueous phase of the fluid
MIXS:0000040	lib_reads_seqd	library reads sequenced	number of reads sequenced	{integer}	1		Total number of clones sequenced from the library
MIXS:0000327	store_cond	storage conditions	storage condition type;duration	{text};{duration}	1		Explain how and for how long the soil sample was stored before DNA extraction (fresh/frozen/other).
MIXS:0000747	tot_part_carb	total particulate carbon	measurement value	{float} {unit}	1	microgram per liter, micromole per liter	Total particulate carbon content
MIXS:0000057	assembly_name	assembly name	name and version of assembly	{text} {text}	1		Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community
MIXS:0001128	fertilizer_date	fertilizer administration date	date and time	{timestamp}	1		Date of administration of soil amendment or fertilizer. Multiple terms may apply and can be separated by pipes, listing in reverse chronological order.
MIXS:0000579	root_med_micronutr	rooting medium micronutrients	micronutrient name;measurement value	{text};{float} {unit}	1	milligram per liter	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo);e.g. H3BO3 (6.2 mg/L).
MIXS:0000736	size_frac_up	size-fraction upper threshold	value	{float} {unit}	1	micrometer	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample.
MIXS:0000315	previous_land_use	history/previous land use	land use name;date	{text};{timestamp}	1		Previous land use and dates.
MIXS:0001322	pos_cont_type	positive control type		{term} or {text}	1		"The substance, mixture, product, or apparatus used to verify that a process which is part of an investigation delivers a true positive.
"
MIXS:0000100	humidity	humidity	measurement value	{float} {unit}	1	percentage	Amount of water vapour in the air, at the time of sampling.
MIXS:0000084	detec_type	detection type	enumeration	[independent sequence (UViG)|provirus (UpViG)]	1		Type of UViG detection
MIXS:0001127	fertilizer_admin	fertilizer administration	AGRO_00002062	{termLabel} {[termID]}	1		Type of fertilizer or amendment added to the soil or water for the purpose of improving substrate health and quality for plant growth. This field accepts terms listed under agronomic fertilizer (http://purl.obolibrary.org/obo/AGRO_00002062). Multiple terms may apply and can be separated by pipes, listing in reverse chronological order.
MIXS:0000745	tot_inorg_nitro	total inorganic nitrogen	measurement value	{float} {unit}	1	microgram per liter	Total inorganic nitrogen content
MIXS:0001173	timepoint	timepoint	duration	{float}	1	hours or days	Time point at which a sample or observation is made or taken from a biomaterial as measured from some reference point. Indicate the timepoint written in ISO 8601 format.
MIXS:0000719	part_org_nitro	particulate organic nitrogen	measurement value	{float} {unit}	1	microgram per liter, micromole per liter	Concentration of particulate organic nitrogen
MIXS:0000310	carb_nitro_ratio	carbon/nitrogen ratio	measurement value	{float}:{float}	1		Ratio of amount or concentrations of carbon to nitrogen
MIXS:0001148	season_humidity	mean seasonal humidity	measurement value	{float} {unit}	1		Average humidity of the region throughout the growing season.
MIXS:0000052	chimera_check	chimera check software	name and version of software, parameters used	{software};{version};{parameters}	1		Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
MIXS:0000643	season_temp	mean seasonal temperature	measurement value	{float} {unit}	1	degree Celsius	Mean seasonal temperature
MIXS:0001132	food_contain_wrap	food container or wrapping	FOODON:03490100	{text}|{termLabel} {[termID]}	1		Type of container or wrapping defined by the main container material, the container form, and the material of the liner lids or ends. Also type of container or wrapping by form;prefer description by material first, then by form. This field accepts terms listed under food container or wrapping (http://purl.obolibrary.org/obo/FOODON_03490100).
MIXS:0001141	extr_weather_event	extreme weather event	enumeration	[drought|dust storm|extreme cold|extreme heat|flood|frost|hail|high precipitationhigh winds]	m		Unusual weather events that may have affected microbial populations. Multiple terms can be separated by pipes, listed in reverse chronological order.
MIXS:0000741	suspend_part_matter	suspended particulate matter	measurement value	{float} {unit}	1	milligram per liter	Concentration of suspended particulate matter
MIXS:0000298	alkalinity_method	alkalinity method	description of method	{text}	1		Method used for alkalinity measurement
MIXS:0000043	lib_screen	library screening strategy	screening strategy name	{text}	1		Specific enrichment or screening methods applied before and/or after creating libraries
MIXS:0001172	spikein_metal	spike-in with heavy metals	heavy metal name or chemical symbol;concentration	{text} {integer}	m		Heavy metals used in research study to assess effects of exposure on microbiome of a specific site. Please list heavy metals and concentration used for spike-in.
MIXS:0000102	tot_nitro	total nitrogen concentration	measurement value	{float} {unit}	1	microgram per liter, micromole per liter, milligram per liter	Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen
MIXS:0001062	root_med_ph	rooting medium pH	measurement value	{float}	1		pH measurement of the culture rooting medium;e.g. 5.5.
MIXS:0000432	calcium	calcium	measurement value	{float} {unit}	1	milligram per liter, micromole per liter, parts per million	Concentration of calcium in the sample
MIXS:0000263	host_tot_mass	host total mass	measurement value	{float} {unit}	1	kilogram, gram	Total mass of the host at collection, the unit depends on host.
MIXS:0001321	neg_cont_type	negative control type	enumeration or text	[distilled water|phosphate buffer|empty collection device|empty collection tube|DNA-free PCR mix|sterile swab |sterile syringe]	1		The substance or equipment used as a negative control in an investigation
MIXS:0000085	otu_class_appr	OTU classification approach	cutoffs and method used	{ANI cutoff};{AF cutoff};{clustering method}	1		Cutoffs and approach used when clustering “species-level” OTUs. Note that results from standard 95% ANI / 85% AF clustering should be provided alongside OTUS defined from another set of thresholds, even if the latter are the ones primarily used during the analysis
MIXS:0000032	trophic_level	trophic level	enumeration	[autotroph|carboxydotroph|chemoautotroph|chemoheterotroph|chemolithoautotroph|chemolithotroph|chemoorganoheterotroph|chemoorganotroph|chemosynthetic|chemotroph|copiotroph|diazotroph|facultative|autotroph|heterotroph|lithoautotroph|lithoheterotroph|lithotroph|methanotroph|methylotroph|mixotroph|obligate|chemoautolithotroph|oligotroph|organoheterotroph|organotroph|photoautotroph|photoheterotroph|photolithoautotroph|photolithotroph|photosynthetic|phototroph]	1		Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph)
MIXS:0001225	samp_collec_method	sample collection method	PMID,DOI,url , or text	{PMID}|{DOI}|{URL}|{text}	1		The method employed for collecting the sample.
MIXS:0000053	tax_ident	taxonomic identity marker	enumeration	[16S rRNA gene|multi-marker approach|other]	1		The phylogenetic marker(s) used to assign an organism name to the SAG or MAG
MIXS:0001154	samp_source_mat_cat	sample source material category	GENEPIO:0001237	{termLabel} {[termID]}	1		This is the scientific role or category that the subject organism or material has with respect to an investigation. This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).
MIXS:0000503	n_alkanes	n-alkanes	n-alkane name;measurement value	{text};{float} {unit}	m	micromole per liter, milligram per liter	Concentration of n-alkanes;can include multiple n-alkanes
MIXS:0000757	wind_direction	wind direction	cardinal wind direction or azimuth degrees	{text}	1	degrees or cardinal direction	Wind direction is the direction from which a wind originates.
MIXS:0001320	samp_taxon_id	taxonomy ID of DNA sample	Taxonomy ID 	{text} [NCBI:txid]	1		NCBI taxon id of the sample. Maybe be a single taxon or mixed taxa sample. Use 'synthetic metagenome’ for mock community/positive controls, or 'blank sample' for negative controls.
MIXS:0000114	ventilation_rate	ventilation rate	measurement value	{float} {unit}	1	cubic meter per minute, liters per second	Ventilation rate of the system in the sampled premises.
MIXS:0001001	ph	pH	measurement value	{float}	1		pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.
MIXS:0000177	chlorophyll	chlorophyll	measurement value	{float} {unit}	1	milligram per cubic meter, microgram per liter	Concentration of chlorophyll
MIXS:0000324	al_sat_meth	extreme_unusual_properties/Al saturation method	PMID,DOI or URL	{PMID}|{DOI}|{URL}	1		Reference or method used in determining Al saturation
MIXS:0001038	biotic_regm	biotic regimen	free text	{text}	m		Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.
MIXS:0001084	profile_position	profile position	enumeration	[summit|shoulder|backslope|footslope|toeslope]	1		Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas
MIXS:0000039	lib_size	library size	number of clones	{integer}	1		Total number of clones in the library prepared for the project
MIXS:0000256	host_length	host length	measurement value	{float} {unit}	1	centimeter, millimeter, meter	The length of subject.
MIXS:0001122	water_source_adjac	environmental feature adjacent water source	ENVO_01001110 or ENVO_00000070	{text}	m		Description of the environmental features that are adjacent to the farm water source. This field accepts terms under ecosystem (http://purl.obolibrary.org/obo/ENVO_01001110) and human construction (http://purl.obolibrary.org/obo/ENVO_00000070). Multiple terms can be separated by pipes.
MIXS:0001177	enrichment_protocol	enrichment protocol	PMID,DOI,url or free text	{PMID}|{DOI}|{URL}|{text}	1		The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s). Please provide a PubMed or DOI reference for published protocols.
MIXS:0001181	cult_isol_date	culture isolation date	date and time	{timestamp}	1		A culture isolation date is a date-time entity marking the end of a process in which a sample yields a positive result for the target microbial analyte(s) in the form of an isolated colony or colonies.
MIXS:0000023	extrachrom_elements	extrachromosomal elements	number of extrachromosmal elements	{integer}	1		Do plasmids exist of significant phenotypic consequence (e.g. ones that determine virulence or antibiotic resistance). Megaplasmids? Other plasmids (borrelia has 15+ plasmids)
MIXS:0000319	flooding	history/flooding	date	{timestamp}	1		Historical and/or physical evidence of flooding
MIXS:0001184	food_product_type	food product type	FOODON:00001002 or FOODON:03309997	{text}|{termLabel} {[termID]}	m		A food product type is a class of food products that is differentiated by its food composition (e.g., single- or multi-ingredient), processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories. This field accepts terms under food product type (http://purl.obolibrary.org/obo/FOODON:03400361). For terms related to food product for an animal, consult food product for animal (http://purl.obolibrary.org/obo/FOODON_03309997). If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes.
MIXS:0000203	water_current	water current	measurement value	{float} {unit}	1	cubic meter per second, knots	Measurement of magnitude and direction of flow within a fluid
MIXS:0000020	subspecf_gen_lin	subspecific genetic lineage	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	{rank name}:{text}	1		Information about the genetic distinctness of the sequenced organism below the subspecies level, e.g., serovar, serotype, biotype, ecotype, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.
MIXS:0001318	host_subspecf_genlin	host subspecific genetic lineage	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	{rank name}:{text}	m		Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.
MIXS:0001157	serovar_or_serotype	serovar or serotype	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	m		A characterization of a cell or microorganism based on the antigenic properties of the molecules on its surface. Indicate the name of a serovar or serotype of interest. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy.
MIXS:0000320	extreme_event	history/extreme events	date	{timestamp}	1		Unusual physical events that may have affected microbial populations
MIXS:0001169	spikein_growth_med	spike-in growth medium	MICRO:0000067	{text}|{termLabel} {[termID]}	m		A liquid or gel containing nutrients, salts, and other factors formulated to support the growth of microorganisms, cells, or plants (National Cancer Institute Thesaurus). A growth medium is a culture medium which has the disposition to encourage growth of particular bacteria to the exclusion of others in the same growth environment. In this case, list the culture medium used to propagate the spike-in bacteria during preparation of spike-in inoculum. This field accepts terms listed under microbiological culture medium (http://purl.obolibrary.org/obo/MICRO_0000067). If the proper descriptor is not listed please use text to describe the spike in growth media.
MIXS:0000698	diss_inorg_nitro	dissolved inorganic nitrogen	measurement value	{float} {unit}	1	microgram per liter, micromole per liter	Concentration of dissolved inorganic nitrogen
MIXS:0000028	biotic_relationship	observed biotic relationship	enumeration	[free living|parasitism|commensalism|symbiotic|mutualism]	1		Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X;mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object
